pi_id,inst_id
551029,109
77515,78
165644,46
542353,5760
541961,24
261777,935
516824,63
550962,147
183958,68
511735,205
545910,109
275423,16
548254,19
481115,61
30764,2059
64009,77
551560,42
349919,19
515465,30
535906,130
371239,32
376742,19
479049,70
472085,836
518236,2
519305,385
564617,7634
526412,74
519632,131
432491,4640
440679,131
99474,68
295247,85
484898,46
547850,5
541930,874
114531,5
120692,47
563461,9035
561136,117
555023,38
431406,7
366191,528
104340,84
539039,291
511217,128
526658,1313
453727,9043
541752,141
124224,34
518471,633
535303,10
521813,7792
550108,1937
194103,16
489793,112
215916,1988
204574,136
33380,126
174082,59
362316,79
560140,34
531150,2204
179737,31
205200,283
365820,403
529115,77
464564,140
386026,633
518519,95
518182,166
519404,118
468456,50
472268,98
172870,250
84539,153
397118,60
541641,58
381486,50
250637,169
564751,126
523023,398
423120,140
251412,391
560319,6862
494572,6
461714,169
352199,30
453838,1410
230642,24
390619,49
556551,128
544621,156
421670,39
482473,112
471524,95
475511,23
557365,161
455742,46
517079,261
517943,216
505322,169
513102,4
556302,544
70292,128
557943,137
510094,60
466322,76
486819,226
319445,233
492625,528
370318,147
550151,254
376392,1995
460928,3954
425389,77
459062,128
558026,146
529194,106
316670,85
553866,294
560018,4653
463149,239
526932,47
181054,180
89694,400
561204,47
548797,2399
290509,99
538597,131
471684,154
402208,88
549456,30
270293,172
487045,43
421302,184
94260,117
545476,44
561826,26
226609,266
474312,5484
288449,78
565273,71
513541,169
237118,166
496821,69
450550,112
174830,49
526863,134
290509,1266
390720,141
522313,172
554823,141
196704,39
556687,9037
60535,4
521585,46
475422,35
536823,297
264468,521
496811,47
364777,265
542095,278
501968,217
297854,223
522819,144
520920,68
152242,4
449907,130
436513,23
488583,117
361213,30
344920,137
311710,153
527261,103
553416,159
462040,385
448703,1301
415194,50
409161,198
429268,743
564023,3
535370,5297
553596,84
543337,75
560057,30
239241,101
17394,131
283063,42
530692,74
489824,277
307822,561
556572,9333
564722,131
559625,11545
519845,117
506704,74
486517,134
232729,49
561257,528
486331,68
353802,1912
13627,64
527941,495
327061,2437
359346,104
464219,23
539633,10
89651,16
464119,215
560579,38
429449,29
397010,331
559496,4950
519555,166
384978,169
371256,109
551341,130
548255,19
252627,6476
398928,400
475040,112
433796,100
357887,820
533344,49
380743,625
371924,71
565349,100
455742,473
294712,101
311031,6003
549679,68
226634,63
486473,83
533242,137
398928,3
257670,8
456147,330
393827,137
456214,9283
561714,927
508364,633
563405,21
520332,394
520020,95
467058,265
557660,136
385767,1271
518306,9035
42692,2010
280792,90
558518,85
526918,821
351674,5
545094,117
460493,9037
519872,9217
536996,118
470450,31
257885,140
397939,106
173357,169
457609,39
565056,68
398928,63
512317,172
560118,29
384064,21
312698,141
541441,23
513339,213
495554,2253
521960,94
561888,47
472831,47
390875,5
141002,2328
57556,112
516082,2427
531356,144
551857,13
451202,4640
346630,34
523600,49
548797,146
266247,11605
150536,30
128418,528
284091,47
549583,819
556209,117
565246,16
552468,217
89495,238
451075,35
557696,94
476888,115
513807,77
258755,8
531150,9035
549957,47
267991,34
552833,104
490724,6
550189,1221
538350,71
115888,10
528716,2305
275165,58
348403,34
337938,162
92224,103
519850,519
553430,39
535116,13
496146,293
526950,187
507731,67
558321,187
560117,71
553549,117
529972,69
414683,3
540776,58
441459,4331
553590,86
559294,9035
550473,47
529169,283
533228,305
489264,49
555848,20
543493,103
553535,99
299989,5264
517914,232
359532,134
540873,51
465668,8384
292522,2949
562969,77
523378,117
494759,46
516909,9035
180288,3
150030,1420
502725,104
348029,2008
153088,19
563502,118
477210,821
558834,1210
550728,1937
362801,106
564825,155
478232,104
532784,115
214068,120
550779,58
198444,23
550807,47
527254,169
67479,166
438489,12
523169,43
544194,4197
33380,46
130705,448
543344,49
438703,85
536698,65
486565,140
291821,112
528809,10
548225,39
557091,137
313642,4351
76668,10
529182,131
533300,88
184184,169
539354,47
311031,65
451677,500
398928,159
551092,111
500264,100
505394,101
374747,23
216819,46
484866,35
513124,31
554456,161
541989,77
527920,821
564427,6253
511983,111
448515,8862
74315,46
446827,77
559223,95
518212,26
42635,128
278900,169
527426,442
450820,821
326093,668
536735,4
528389,44
508237,49
535441,9035
451579,3
469708,117
300996,111
564652,297
549461,77
511614,49
550040,874
31436,104
258107,220
485645,12
409612,661
293104,77
451576,126
531029,131
384292,68
508790,39
381205,141
528629,67
247565,33
559570,254
389934,5298
554348,65
555612,136
147773,35
302533,128
549583,163
186565,38
501113,159
538973,9037
523642,172
526932,46
445522,104
182691,31
531245,89
318715,10
542523,142
276028,131
520532,16
402028,19
258460,106
518161,416
184348,939
557528,62
351740,117
259894,93
33682,174
166660,23
424112,30
390529,2425
188405,144
426498,6557
463933,44
545578,138
563326,13
508165,16
439804,214
557899,5443
364548,126
546254,566
496898,29
501245,169
428505,9489
476209,314
563446,189
451238,49
452092,130
124605,68
522598,223
536027,126
565206,9035
234536,162
492015,84
122236,9035
525604,207
563519,55
526981,22
